job_title,salary_usd,experience_level,country,remote_type,company_size,source,matched_occupation,automation_probability,match_score,bls_matched_title,bls_mean_salary_usd,bls_match_score,bls_total_employment,ai_risk_band
Admin & Data Analyst,40000.0,Entry-level,India,Remote,Medium,dataset_A,mechanical engineers,0.011,62.22222222222222,,,0.0,,Low
Data Analyst,70000.0,Entry-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,74.07407407407408,47170.0,Low
Data Analyst,50000.0,Entry-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,74.07407407407408,47170.0,Low
Research Analyst,94600.0,Senior,United States,On-site,Medium,dataset_A,mechanical engineers,0.011,64.86486486486487,operations research analysts,99120.0,72.72727272727273,107760.0,Low
Research Analyst,77400.0,Senior,United States,On-site,Medium,dataset_A,mechanical engineers,0.011,64.86486486486487,operations research analysts,99120.0,72.72727272727273,107760.0,Low
Data Analyst,192500.0,Entry-level,United States,On-site,Medium,dataset_A,,,0.0,budget analysts,93920.0,74.07407407407408,47170.0,Unknown
Data Analyst,140000.0,Entry-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,74.07407407407408,47170.0,Low
Data Scientist,154500.0,Mid-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,data scientists,124590.0,96.55172413793103,233440.0,Low
Data Scientist,75705.0,Mid-level,United States,On-site,Medium,dataset_A,,,0.0,data scientists,124590.0,96.55172413793103,233440.0,Unknown
Business Intelligence Analyst,95000.0,Entry-level,United States,On-site,Medium,dataset_A,,,0.0,,,0.0,,Unknown
Business Intelligence Analyst,85000.0,Entry-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,,,0.0,,Low
Business Intelligence Manager,164700.0,Mid-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,,,0.0,,Low
Business Intelligence Manager,117500.0,Mid-level,United States,On-site,Medium,dataset_A,medical scientists,0.005,75.0,,,0.0,,Low
Data Analyst,80000.0,Entry-level,United States,On-site,Medium,dataset_A,medical scientists,0.005,75.0,budget analysts,93920.0,74.07407407407408,47170.0,Low
Data Analyst,45700.0,Entry-level,United States,On-site,Medium,dataset_A,,,0.0,budget analysts,93920.0,74.07407407407408,47170.0,Unknown
Data Analyst,117000.0,Senior,United States,On-site,Medium,dataset_A,,,0.0,budget analysts,93920.0,74.07407407407408,47170.0,Unknown
Data Analyst,115765.0,Senior,United States,On-site,Medium,dataset_A,,,0.0,budget analysts,93920.0,74.07407407407408,47170.0,Unknown
Data Analyst,140000.0,Senior,Canada,On-site,Medium,dataset_A,,,0.0,budget analysts,93920.0,74.07407407407408,47170.0,Unknown
Data Analyst,107000.0,Senior,Canada,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,74.07407407407408,47170.0,Low
Machine Learning Engineer,178250.0,Senior,United States,Remote,Medium,dataset_A,management analysts,0.13,64.51612903225806,,,0.0,,Low
Machine Learning Engineer,105500.0,Senior,United States,Remote,Medium,dataset_A,management analysts,0.13,64.51612903225806,,,0.0,,Low
Data Developer,62500.0,Senior,United Kingdom,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,,,0.0,,Low
Prompt Engineer,197011.0,Senior,United States,Remote,Medium,dataset_A,management analysts,0.13,64.51612903225806,petroleum engineers,153560.0,76.47058823529412,18970.0,Low
Prompt Engineer,115889.0,Senior,United States,Remote,Medium,dataset_A,management analysts,0.13,64.51612903225806,petroleum engineers,153560.0,76.47058823529412,18970.0,Low
Research Scientist,138000.0,Mid-level,United States,On-site,Medium,dataset_A,mechanical engineers,0.011,62.22222222222222,data scientists,124590.0,66.66666666666667,233440.0,Low
Research Scientist,86000.0,Mid-level,United States,On-site,Medium,dataset_A,mechanical engineers,0.011,62.22222222222222,data scientists,124590.0,66.66666666666667,233440.0,Low
Data Engineer,259700.0,Senior,United States,Remote,Medium,dataset_A,,,0.0,engineers,116760.0,72.72727272727273,1746750.0,Unknown
Data Engineer,185500.0,Senior,United States,Remote,Medium,dataset_A,,,,engineers,116760.0,72.72727272727273,1746750.0,Unknown
Data Analyst,80000.0,Entry-level,United States,Remote,Medium,dataset_A,,,0.0,budget analysts,93920.0,74.07407407407408,47170.0,Unknown
Data Analyst,175000.0,Executive,United States,On-site,Medium,dataset_A,,,0.0,budget analysts,93920.0,74.07407407407408,47170.0,Unknown
Data Analyst,68000.0,Executive,United States,On-site,Medium,dataset_A,medical scientists,0.005,66.66666666666667,budget analysts,93920.0,74.07407407407408,47170.0,Low
